original_ORF_annotation	query	target	description	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
>LOKIASV2_36100 hypothetical protein	LOKIASV2_3610_ESMFold_hypothetical_protein	AF-C0H3Y4-F1-model_v4	Putative DNA-binding protein YizB 	0.244	89	67	8	96	16	104	0.00002595	235
>LOKIASV2_36110 ABC transporter ATP-binding protein	LOKIASV2_3611_ESMFold_ABC_transporter_ATP-binding_protein	AF-P0A4W5-F1-model_v4	Uncharacterized ABC transporter ATP-binding protein Mb1304c 	0.398	537	320	203	739	40	571	4.286E-48	2113
>LOKIASV2_36120 ABC transporter ATP-binding protein	LOKIASV2_3612_ESMFold_ABC_transporter_ATP-binding_protein	AF-P63398-F1-model_v4	Fatty acid ABC transporter ATP-binding/permease protein 	0.437	630	337	1	599	1	630	8.932E-59	2356
>LOKIASV2_36130 hypothetical protein	LOKIASV2_3613_ESMFold_hypothetical_protein	AF-Q9KX73-F1-model_v4	Xylitol oxidase 	0.311	61	41	3	63	354	414	0.004639	141
>LOKIASV2_36140 oxidoreductase	LOKIASV2_3614_ESMFold_oxidoreductase	AF-O88451-F1-model_v4	Retinol dehydrogenase 7 	0.273	289	207	1	286	26	314	5.024E-24	827
>LOKIASV2_36150 tungsten cofactor oxidoreductase radical SAM maturase	LOKIASV2_3615_ESMFold_tungsten_cofactor_oxidoreductase_radical_SAM_maturase	AF-Q51741-F1-model_v4	Tungsten-containing aldehyde ferredoxin oxidoreductase cofactor-modifying protein 	0.268	370	251	56	425	3	346	1.141E-33	1086
>LOKIASV2_36160 hypothetical protein	LOKIASV2_3616_ESMFold_hypothetical_protein	AF-D4GVB0-F1-model_v4	Small archaeal modifier protein 3 	0.163	98	75	3	100	2	92	0.00001021	193
>LOKIASV2_36170 hypothetical protein	LOKIASV2_3617_ESMFold_hypothetical_protein	AF-Q9V035-F1-model_v4	Tungsten-containing aldehyde ferredoxin oxidoreductase 	0.331	611	404	262	872	2	606	1.048E-49	2289
>LOKIASV2_36180 hypothetical protein	LOKIASV2_3618_ESMFold_hypothetical_protein	AF-Q9HPU8-F1-model_v4	Bacterioopsin transcriptional activator 	0.129	222	187	2	223	457	672	1.679E-10	266
>LOKIASV2_36190 D-arabinono-1,4-lactone oxidase	LOKIASV2_3619_ESMFold_D-arabinono-1-4-lactone_oxidase	AF-P9WIT3-F1-model_v4	L-gulono-1,4-lactone dehydrogenase 	0.347	427	277	23	449	1	425	2.343E-49	1883
>LOKIASV2_36200 peptide-methionine -R--S-oxide reductase MsrB	LOKIASV2_3620_ESMFold_peptide-methionine_-R--S-oxide_reductase_MsrB	AF-Q8XYL1-F1-model_v4	Peptide methionine sulfoxide reductase MsrB 	0.603	126	50	1	126	2	127	1.089E-20	864
>LOKIASV2_36210 hypothetical protein	LOKIASV2_3621_ESMFold_hypothetical_protein	AF-D1FP57-F1-model_v4	Putative E3 ubiquitin-protein ligase LIN-2 	0.128	311	260	29	339	1187	1485	1.489E-13	508
>LOKIASV2_36220 hypothetical protein	LOKIASV2_3622_ESMFold_hypothetical_protein	AF-A4FUZ6-F1-model_v4	Hydroxysteroid dehydrogenase-like protein 2 	0.208	112	86	1	112	304	412	0.0000003048	218
>LOKIASV2_36230 hypothetical protein	LOKIASV2_3623_ESMFold_hypothetical_protein	AF-P00211-F1-model_v4	Ferredoxin-2 	0.333	57	37	15	71	2	58	0.0002193	179
>LOKIASV2_36240 FAD-dependent oxidoreductase	LOKIASV2_3624_ESMFold_FAD-dependent_oxidoreductase	AF-P77337-F1-model_v4	Probable electron transfer flavoprotein-quinone oxidoreductase YdiS 	0.225	427	322	1	417	1	427	2.434E-36	1049
>LOKIASV2_36250 hypothetical protein	LOKIASV2_3625_ESMFold_hypothetical_protein	AF-O87939-F1-model_v4	Sensor protein TdiS 	0.165	286	237	11	295	22	307	2.262E-14	385
>LOKIASV2_36260 chemotaxis protein CheB	LOKIASV2_3626_AF2_chemotaxis_protein_CheB	AF-Q02998-F1-model_v4	Uncharacterized 104.1 kDa protein in hypE 3'region 	0.29	922	650	66	987	1	917	5.186E-80	1990
>LOKIASV2_36270 hypothetical protein	LOKIASV2_3627_ESMFold_hypothetical_protein	AF-P16497-F1-model_v4	Sporulation kinase A 	0.214	590	463	76	665	16	605	1.807E-42	1102
>LOKIASV2_36280 hypothetical protein	LOKIASV2_3628_AF2_hypothetical_protein	AF-Q95242-F1-model_v4	Platelet endothelial cell adhesion molecule 	0.134	657	508	1199	1855	37	624	7.376E-23	428
>LOKIASV2_36290 hypothetical protein	LOKIASV2_3629_ESMFold_hypothetical_protein	AF-O42393-F1-model_v4	43 kDa receptor-associated protein of the synapse 	0.15	363	299	122	484	9	361	0.000000005808	463
>LOKIASV2_36300 hypothetical protein	LOKIASV2_3630_ESMFold_hypothetical_protein	AF-Q2KJ11-F1-model_v4	Protein NKG7 	0.104	157	125	6	146	3	159	0.002752	129
>LOKIASV2_36310 acetylxylan esterase	LOKIASV2_3631_ESMFold_acetylxylan_esterase	6grw-assembly1.cif.gz_A	Glucuronoyl Esterase from Opitutus terrae (Au derivative) 	0.313	387	264	45	429	1	387	4.653E-34	1137
>LOKIASV2_36320 hypothetical protein	LOKIASV2_3632_ESMFold_hypothetical_protein	AF-Q803C1-F1-model_v4	E3 ubiquitin-protein ligase rnf8 	0.124	128	109	106	230	177	304	3.194	45
>LOKIASV2_36330 hypothetical protein	LOKIASV2_3633_ESMFold_hypothetical_protein	AF-Q9RQQ9-F1-model_v4	Sensor protein DivL 	0.157	365	305	15	377	392	756	4.44E-24	600
>LOKIASV2_36340 hypothetical protein	LOKIASV2_3634_ESMFold_hypothetical_protein	AF-Q54UU1-F1-model_v4	Trafficking protein particle complex subunit 4 	0.111	131	109	255	378	3	133	0.002954	178
>LOKIASV2_36350 sulfite exporter TauE-SafE family protein	LOKIASV2_3635_ESMFold_sulfite_exporter_TauE-SafE_family_protein	AF-Q57883-F1-model_v4	Probable membrane transporter protein MJ0441 	0.186	252	191	2	237	15	266	0.0000002733	338
>LOKIASV2_36360 hypothetical protein	LOKIASV2_3636_ESMFold_hypothetical_protein	8j3r-assembly1.cif.gz_A	Cryo-EM structure of the AsCas12f-HKRA-sgRNAS3-5v7-target DNA 	0.24	224	169	25	248	190	413	2.23E-14	446
>LOKIASV2_36370 inorganic diphosphatase	LOKIASV2_3637_ESMFold_inorganic_diphosphatase	AF-O59570-F1-model_v4	Inorganic pyrophosphatase 	0.474	177	92	5	181	1	176	2.126E-23	895
>LOKIASV2_36380 aspartate aminotransferase family protein	LOKIASV2_3638_ESMFold_aspartate_aminotransferase_family_protein	AF-P56969-F1-model_v4	Uncharacterized aminotransferase AF_1815 	0.442	418	225	14	431	5	408	8.401E-45	1749
>LOKIASV2_36390 DUF6206 family protein	LOKIASV2_3639_ESMFold_DUF6206_family_protein	AF-A1CLD2-F1-model_v4	EKC/KEOPS complex subunit bud32 	0.099	262	230	46	307	22	277	0.00003107	127
>LOKIASV2_36400 hypothetical protein	LOKIASV2_3640_ESMFold_hypothetical_protein	AF-C0H3V4-F1-model_v4	Uncharacterized membrane protein YdzK 	0.096	92	76	1	92	1	85	3.717	47
>LOKIASV2_36410 hypothetical protein	LOKIASV2_3641_ESMFold_hypothetical_protein	AF-Q9KVG8-F1-model_v4	cGAMP-activated phospholipase 	0.223	336	239	2	309	14	349	6.14E-18	586
>LOKIASV2_36420 hypothetical protein	LOKIASV2_3642_ESMFold_hypothetical_protein	AF-P30338-F1-model_v4	Arsenical resistance operon repressor 	0.317	85	57	72	156	4	88	0.000004297	266
>LOKIASV2_36430 ACR3 family arsenite efflux transporter	LOKIASV2_3643_ESMFold_ACR3_family_arsenite_efflux_transporter	AF-P74311-F1-model_v4	Uncharacterized transporter slr0944 	0.393	343	196	21	344	15	357	9.844E-26	1282
>LOKIASV2_36440 uridine kinase	LOKIASV2_3644_ESMFold_uridine_kinase	1rz3-assembly1.cif.gz_A	Structure of a Possible Uridine Kinase from Bacillus stearothermophilus 	0.245	201	135	8	208	3	182	1.404E-14	434
>LOKIASV2_36450 hypothetical protein	LOKIASV2_3645_ESMFold_hypothetical_protein	2omu-assembly1.cif.gz_A	Crystal structure of InlA G194S+S Y369S/hEC1 complex 	0.231	157	115	70	226	78	227	0.00004232	196
>LOKIASV2_36460 hypothetical protein	LOKIASV2_3646_ESMFold_hypothetical_protein	2oxg-assembly3.cif.gz_C	The SoxYZ Complex of Paracoccus pantotrophus 	0.148	98	78	27	119	2	99	0.0003479	138
>LOKIASV2_36470 hypothetical protein	LOKIASV2_3647_ESMFold_hypothetical_protein	AF-Q3ACF5-F1-model_v4	D-alanine--D-alanine ligase 	0.23	338	237	1	338	1	309	5.518E-22	682
>LOKIASV2_36480 ATP-binding protein	LOKIASV2_3648_ESMFold_ATP-binding_protein	AF-Q58321-F1-model_v4	Magnesium-chelatase subunit ChlI homolog 	0.476	338	174	1	333	3	340	4.073E-39	1613
>LOKIASV2_36490 hypothetical protein	LOKIASV2_3649_ESMFold_hypothetical_protein	AF-P61203-F1-model_v4	COP9 signalosome complex subunit 2 	0.151	426	315	31	402	11	436	0.0001124	92
>LOKIASV2_36500 hypothetical protein	LOKIASV2_3650_ESMFold_hypothetical_protein	7xvn-assembly2.cif.gz_D	Structural basis for DNA recognition feature of retinoid-related orphan receptors 	0.242	33	23	1	33	2	33	2.558	38
>LOKIASV2_36510 BON domain-containing protein	LOKIASV2_3651_ESMFold_BON_domain-containing_protein	AF-P0AFH9-F1-model_v4	Osmotically-inducible protein Y 	0.253	146	106	4	146	56	201	1.311E-12	328
>LOKIASV2_36520 hypothetical protein	LOKIASV2_3652_ESMFold_hypothetical_protein	AF-O31564-F1-model_v4	Uncharacterized HTH-type transcriptional regulator YfiV 	0.172	81	62	31	111	47	122	0.0003946	131
>LOKIASV2_36530 methyl-accepting chemotaxis protein	LOKIASV2_3653_ESMFold_methyl-accepting_chemotaxis_protein	AF-P39215-F1-model_v4	Methyl-accepting chemotaxis protein McpB 	0.2	826	526	10	835	2	659	2.759E-20	754
>LOKIASV2_36540 S-methyl-5-thioribose-1-phosphate isomerase	LOKIASV2_3654_ESMFold_S-methyl-5-thioribose-1-phosphate_isomerase	AF-Q57896-F1-model_v4	Putative methylthioribose-1-phosphate isomerase 	0.498	342	161	2	343	5	326	1.774E-41	1591
>LOKIASV2_36550 hypothetical protein	LOKIASV2_3655_ESMFold_hypothetical_protein	2fg9-assembly1.cif.gz_A	CRYSTAL STRUCTURE OF A PUTATIVE 5-NITROIMIDAZOLE ANTIBIOTIC RESISTANCE PROTEIN (BT_3078) FROM BACTEROIDES THETAIOTAOMICRON VPI-5482 AT 2.20 A RESOLUTION 	0.281	146	101	12	157	18	159	7.538E-12	438
>LOKIASV2_36560 hypothetical protein	LOKIASV2_3656_ESMFold_hypothetical_protein	6b8q-assembly1.cif.gz_A	Crystal Structure of the Mg2+/CaM:Kv7.5 (KCNQ5) AB domain complex 	0.17	41	31	8	45	9	49	8.638	19
>LOKIASV2_36570 cysteine synthase A	LOKIASV2_3657_ESMFold_cysteine_synthase_A	AF-Q7DDL5-F1-model_v4	Cysteine synthase 	0.54	307	140	1	305	1	307	1.715E-42	1638
>LOKIASV2_36580 serine O-acetyltransferase	LOKIASV2_3658_ESMFold_serine_O-acetyltransferase	AF-P74089-F1-model_v4	Serine acetyltransferase 	0.483	213	103	62	262	2	214	2.797E-23	827
>LOKIASV2_36590 hypothetical protein	LOKIASV2_3659_ESMFold_hypothetical_protein	8a40-assembly1.cif.gz_U	Structure of mammalian Pol II-TFIIS elongation complex 	0.204	49	30	6	54	130	168	0.3918	56
>LOKIASV2_36600 MBL fold metallo-hydrolase	LOKIASV2_3660_ESMFold_MBL_fold_metallo-hydrolase	7dck-assembly1.cif.gz_B	Crystal structure of phosphodiesterase tw9814 	0.253	234	173	2	234	8	241	6.838E-15	436
>LOKIASV2_36610 DUF401 family protein	LOKIASV2_3661_ESMFold_DUF401_family_protein	AF-P0AC95-F1-model_v4	High-affinity gluconate transporter 	0.16	445	330	1	394	1	445	0.000000001115	397
>LOKIASV2_36620 hypothetical protein	LOKIASV2_3662_ESMFold_hypothetical_protein	6blp-assembly1.cif.gz_I	Pol II elongation complex with an abasic lesion at i+1 position, soaking AMPCPP 	0.15	40	31	82	121	5	41	0.7999	62
>LOKIASV2_36630 hypothetical protein	LOKIASV2_3663_ESMFold_hypothetical_protein	AF-Q9Y7U1-F1-model_v4	Protein sfk1 	0.123	289	227	1	289	9	268	0.04147	79
>LOKIASV2_36640 RNA-guided endonuclease TnpB family protein	LOKIASV2_3664_ESMFold_RNA-guided_endonuclease_TnpB_family_protein	AF-P54992-F1-model_v4	Putative transposase in snaA-snaB intergenic region 	0.204	396	314	1	396	3	398	3.806E-21	586
>LOKIASV2_36650 IS200-IS605 family transposase	LOKIASV2_3665_ESMFold_IS200-IS605_family_transposase	2xma-assembly1.cif.gz_B	DEINOCOCCUS RADIODURANS ISDRA2 TRANSPOSASE RIGHT END DNA COMPLEX 	0.341	126	82	17	142	10	134	3.176E-13	462
>LOKIASV2_36660 hypothetical protein	LOKIASV2_3666_ESMFold_hypothetical_protein	AF-Q9XUC4-F1-model_v4	Zinc transporter zipt-7.1 	0.255	278	171	18	247	115	392	0.000000003455	423
>LOKIASV2_36670 hypothetical protein	LOKIASV2_3667_ESMFold_hypothetical_protein	2x26-assembly1.cif.gz_A	Crystal structure of the periplasmic aliphatic sulphonate binding protein SsuA from Escherichia coli 	0.145	271	227	62	332	4	270	2.472E-18	573
>LOKIASV2_36680 hypothetical protein	LOKIASV2_3668_ESMFold_hypothetical_protein	AF-O30101-F1-model_v4	Uncharacterized protein AF_0136 	0.172	213	152	1	213	1	185	1.982E-10	271
>LOKIASV2_36690 hypothetical protein	LOKIASV2_ORF_3669 not PDB100 or Swiss-Prot hit											
>LOKIASV2_36700 ABC transporter permease	LOKIASV2_3670_ESMFold_ABC_transporter_permease	AF-Q47539-F1-model_v4	Taurine transport system permease protein TauC 	0.301	258	176	12	269	22	274	6.393E-15	769
>LOKIASV2_36710 ABC transporter ATP-binding protein	LOKIASV2_3671_ESMFold_ABC_transporter_ATP-binding_protein	AF-Q65M64-F1-model_v4	Aliphatic sulfonates import ATP-binding protein SsuB 	0.398	261	142	2	262	3	239	8.61E-29	1037
>LOKIASV2_36720 PH domain-containing protein	LOKIASV2_3672_ESMFold_PH_domain-containing_protein	AF-O34593-F1-model_v4	Uncharacterized protein YjqA 	0.564	124	54	1	124	1	124	8.79E-14	532
>LOKIASV2_36730 hypothetical protein	LOKIASV2_3673_ESMFold_hypothetical_protein	7q4j-assembly1.cif.gz_B	A thermostable lipase from Thermoanaerobacter thermohydrosulfuricus in complex a monoacylglycerol intermediate 	0.179	258	209	94	351	1	256	2.286E-14	421
>LOKIASV2_36740 hypothetical protein	LOKIASV2_3674_ESMFold_hypothetical_protein	AF-O29067-F1-model_v4	Uncharacterized protein AF_1201 	0.194	228	168	1	228	18	227	0.00002949	129
>LOKIASV2_36750 MFS transporter	LOKIASV2_3675_ESMFold_MFS_transporter	AF-O34368-F1-model_v4	Probable glucitol transport protein GutA 	0.197	454	360	2	455	13	461	3.308E-16	839
>LOKIASV2_36760 hypothetical protein	LOKIASV2_3676_ESMFold_hypothetical_protein	3mae-assembly1.cif.gz_A	CRYSTAL STRUCTURE OF PROBABLE DIHYDROLIPOAMIDE ACETYLTRANSFERASE FROM LISTERIA MONOCYTOGENES 4b F2365 	0.167	260	189	8	267	2	229	5.075E-16	471
>LOKIASV2_36770 hypothetical protein	LOKIASV2_3677_ESMFold_hypothetical_protein	3vhs-assembly1.cif.gz_B	Crystal structure of UBZ of human WRNIP1 	0.263	19	13	1	19	2	20	7.273	26
>LOKIASV2_36780 hypothetical protein	LOKIASV2_3678_ESMFold_hypothetical_protein	AF-O34553-F1-model_v4	Protein YtsP 	0.321	160	107	1	159	2	161	9.529E-15	518
>LOKIASV2_36790 hypothetical protein	LOKIASV2_3679_AF2_hypothetical_protein	AF-Q04732-F1-model_v4	Calcium-binding acidic-repeat protein 	0.5	93	46	934	1026	553	645	0.0000002847	370
>LOKIASV2_36800 amidohydrolase	LOKIASV2_3680_ESMFold_amidohydrolase	AF-P58156-F1-model_v4	Thermostable carboxypeptidase 2 	0.373	391	242	4	390	1	391	2.031E-52	1933
>LOKIASV2_36810 hypothetical protein	LOKIASV2_3681_ESMFold_hypothetical_protein	AF-Q8NA29-F1-model_v4	Sodium-dependent lysophosphatidylcholine symporter 1 	0.163	508	413	13	507	29	536	1.538E-18	890
>LOKIASV2_36820 MFS transporter	LOKIASV2_3682_ESMFold_MFS_transporter	AF-Q6DEJ6-F1-model_v4	Sodium-dependent lysophosphatidylcholine symporter 1-B 	0.176	479	385	67	534	31	509	4.057E-19	961
>LOKIASV2_36830 SDR family oxidoreductase	LOKIASV2_3683_ESMFold_SDR_family_oxidoreductase	AF-O05730-F1-model_v4	Probable short-chain type dehydrogenase/reductase VdlC 	0.26	278	199	1	270	1	278	1.983E-23	804
>LOKIASV2_36840 1,4-alpha-glucan branching protein	LOKIASV2_3684_ESMFold_1-4-alpha-glucan_branching_protein	1ufa-assembly1.cif.gz_A	Crystal structure of TT1467 from Thermus thermophilus HB8 	0.37	527	318	3	529	2	507	7.581E-44	1932
>LOKIASV2_36850 hypothetical protein	LOKIASV2_3685_ESMFold_hypothetical_protein	AF-P0CR98-F1-model_v4	Mitochondrial import inner membrane translocase subunit TIM10 	0.14	99	76	21	119	10	98	4.436	26
>LOKIASV2_36860 hypothetical protein	LOKIASV2_3686_ESMFold_hypothetical_protein	AF-A0L190-F1-model_v4	Multidrug resistance protein MdtL 	0.123	373	322	44	411	6	378	0.00001578	213
>LOKIASV2_36870 hypothetical protein	LOKIASV2_3687_ESMFold_hypothetical_protein	6ehi-assembly5.cif.gz_J	NucT from Helicobacter pylori 	0.131	151	118	29	165	2	152	0.000000008142	259
>LOKIASV2_36880 hypothetical protein	LOKIASV2_3688_ESMFold_hypothetical_protein	AF-Q969J3-F1-model_v4	BLOC-1-related complex subunit 5 	0.145	177	146	1	177	1	172	3.152	31
>LOKIASV2_36890 histidinol-phosphatase	LOKIASV2_3689_ESMFold_histidinol-phosphatase	AF-Q9K801-F1-model_v4	Histidinol-phosphatase 	0.218	262	193	16	263	2	263	1.086E-15	503
>LOKIASV2_36900 DEAD-DEAH box helicase	LOKIASV2_3690_ESMFold_DEAD-DEAH_box_helicase	AF-Q58900-F1-model_v4	Putative ATP-dependent RNA helicase MJ1505 	0.339	812	512	5	816	1	776	3.664E-66	1976
>LOKIASV2_36910 hypothetical protein	LOKIASV2_3691_ESMFold_hypothetical_protein	AF-O28779-F1-model_v4	Probable archaeal histone A1-2 	0.453	64	34	32	95	2	65	0.00002829	230
>LOKIASV2_36920 hypothetical protein	LOKIASV2_3692_ESMFold_hypothetical_protein	3bn8-assembly1.cif.gz_A-2	Crystal structure of a putative sterol carrier protein type 2 (af1534) from archaeoglobus fulgidus dsm 4304 at 2.11 A resolution 	0.157	106	84	344	444	8	113	0.00003857	154
>LOKIASV2_36930 hypothetical protein	LOKIASV2_3693_ESMFold_hypothetical_protein	AF-Q14129-F1-model_v4	Protein DGCR6 	0.16	86	63	2	87	85	160	1.584	44
>LOKIASV2_36940 hypothetical protein	LOKIASV2_3694_ESMFold_hypothetical_protein	AF-Q9FJ98-F1-model_v4	DNA-directed RNA polymerases II, IV and V subunit 6A 	0.455	79	42	17	95	57	134	0.0000001948	286
>LOKIASV2_36950 hypothetical protein	LOKIASV2_3695_ESMFold_hypothetical_protein	2ge3-assembly1.cif.gz_B	Crystal structure of Probable acetyltransferase from Agrobacterium tumefaciens 	0.25	168	121	18	185	2	163	9.615E-15	517
>LOKIASV2_36960 hypothetical protein	LOKIASV2_3696_ESMFold_hypothetical_protein	AF-Q4ZSY3-F1-model_v4	Blue-light-activated protein 	0.226	364	278	343	702	26	389	4.058E-25	813
>LOKIASV2_36970 glutamine-hydrolyzing GMP synthase	LOKIASV2_3697_ESMFold_glutamine-hydrolyzing_GMP_synthase	AF-C0QYF1-F1-model_v4	GMP synthase [glutamine-hydrolyzing] 	0.547	520	231	1	520	5	514	3.995E-73	2646
>LOKIASV2_36980 hypothetical protein	LOKIASV2_3698_ESMFold_hypothetical_protein	4xl5-assembly1.cif.gz_C	X-ray structure of bGFP-A / EGFP complex 	0.282	311	174	5	315	1	243	6.42E-12	595
>LOKIASV2_36990 hypothetical protein	LOKIASV2_3699_ESMFold_hypothetical_protein	5u4p-assembly1.cif.gz_B	Protein-protein complex between 26S proteasome regulatory subunit RPN8, RPN11, and Ubiquitin S31 	0.141	138	100	52	189	3	119	0.000004035	167
>LOKIASV2_37000 hypothetical protein	LOKIASV2_3700_ESMFold_hypothetical_protein	8cr1-assembly1.cif.gz_D	Homo sapiens Get1/Get2 heterotetramer in complex with a Get3 dimer 	0.098	218	182	245	462	54	256	8.392	21
>LOKIASV2_37010 alpha-beta hydrolase	LOKIASV2_3701_ESMFold_alpha-beta_hydrolase	5olu-assembly1.cif.gz_A	The crystal structure of a highly thermostable carboxyl esterase from Bacillus coagulans in complex with glycerol 	0.3	309	213	1	305	2	310	1.289E-28	1007
>LOKIASV2_37020 hypothetical protein	LOKIASV2_3702_ESMFold_hypothetical_protein	3bdi-assembly1.cif.gz_A	Crystal structure of predicted CIB-like hydrolase (NP_393672.1) from Thermoplasma acidophilum at 1.45 A resolution 	0.161	236	169	39	274	2	204	0.00000008212	299
>LOKIASV2_37030 hypothetical protein	LOKIASV2_3703_ESMFold_hypothetical_protein	AF-O70572-F1-model_v4	Sphingomyelin phosphodiesterase 2 	0.099	121	105	10	126	292	412	0.2264	103
>LOKIASV2_37040 hypothetical protein	LOKIASV2_3704_ESMFold_hypothetical_protein	3afg-assembly1.cif.gz_A	Crystal structure of ProN-Tk-SP from Thermococcus kodakaraensis 	0.106	127	89	40	166	405	505	0.00003745	126
>LOKIASV2_37050 TatD family hydrolase	LOKIASV2_3705_ESMFold_TatD_family_hydrolase	AF-Q17R31-F1-model_v4	Putative deoxyribonuclease TATDN3 	0.249	284	196	14	297	5	266	6.272E-17	606
>LOKIASV2_37060 arsenate reductase, glutathione-glutaredoxin type	LOKIASV2_3706_ESMFold_arsenate_reductase-_glutathione-glutaredoxin_type	AF-Q49UH1-F1-model_v4	Arsenate reductase 2 	0.343	130	84	1	130	2	130	1.247E-13	465
>LOKIASV2_37070 HD domain-containing protein	LOKIASV2_3707_ESMFold_HD_domain-containing_protein	2pq7-assembly1.cif.gz_A-2	Crystal structure of predicted HD superfamily hydrolase (104161995) from uncultured Thermotogales bacterium at 1.45 A resolution 	0.162	219	131	10	228	14	170	0.004098	122
>LOKIASV2_37080 translation initiation factor IF-2 subunit gamma	LOKIASV2_3708_ESMFold_translation_initiation_factor_IF-2_subunit_gamma	AF-Q58657-F1-model_v4	Translation initiation factor 2 subunit gamma 	0.506	430	203	2	431	1	411	1.954E-62	2337
>LOKIASV2_37090 hypothetical protein	LOKIASV2_3709_AF2_hypothetical_protein	6iur-assembly1.cif.gz_B	A phosphatase complex STRN3-PP2Aa 	0.158	461	357	26	450	100	560	0.00000004711	305
>LOKIASV2_37100 selenide, water dikinase SelD	LOKIASV2_3710_ESMFold_selenide-_water_dikinase_SelD	AF-O18373-F1-model_v4	Inactive selenide, water dikinase-like protein 	0.286	273	188	2	266	122	394	7.108E-26	824
>LOKIASV2_37110 hypothetical protein	LOKIASV2_3711_ESMFold_hypothetical_protein	7plk-assembly1.cif.gz_A	Crystal structure bovine Hsc70(aa1-554)E213A/D214A in complex with nicotinic-acid-derivative 	0.17	41	33	6	46	227	267	9.219	36
>LOKIASV2_37120 hypothetical protein	LOKIASV2_3712_ESMFold_hypothetical_protein	7tza-assembly1.cif.gz_A	Structure of PQS Response Protein PqsE in complex with N-(4-(3-neopentylureido)phenyl)-1H-indazole-7-carboxamide 	0.154	322	246	2	323	5	296	1.885E-13	377
>LOKIASV2_37130 alanine--tRNA ligase	LOKIASV2_3713_AF2_alanine--tRNA_ligase	AF-Q0W5Q9-F1-model_v4	Alanine--tRNA ligase 	0.352	974	566	2	975	1	875	1.01E-82	3583
>LOKIASV2_37140 hypothetical protein	LOKIASV2_3714_ESMFold_hypothetical_protein	AF-Q3UG61-F1-model_v4	Mas-related G-protein coupled receptor member B1 	0.118	259	219	1	259	45	293	0.001026	160
>LOKIASV2_37150 hypothetical protein	LOKIASV2_3715_ESMFold_hypothetical_protein	4mtx-assembly2.cif.gz_C	Structure of the ERS1 dimerization and histidine phosphotransfer domain from Arabidopsis thaliana 	0.202	88	66	591	678	11	94	1.991	54
>LOKIASV2_37160 hypothetical protein	LOKIASV2_3716_ESMFold_hypothetical_protein	AF-Q80XJ3-F1-model_v4	Tetratricopeptide repeat protein 28 	0.142	358	287	268	625	571	905	0.00004856	238
>LOKIASV2_37170 hypothetical protein	LOKIASV2_3717_ESMFold_hypothetical_protein	5zhv-assembly1.cif.gz_B	Crystal structure of the PadR-family transcriptional regulator Rv3488 of Mycobacterium tuberculosis H37Rv in complex with zinc ion 	0.181	95	76	8	101	5	99	0.0002515	161
>LOKIASV2_37180 ABC transporter ATP-binding protein	LOKIASV2_3718_ESMFold_ABC_transporter_ATP-binding_protein	AF-Q2LVL0-F1-model_v4	ATP-dependent lipid A-core flippase 	0.301	597	412	2	598	11	600	7.15E-45	2020
>LOKIASV2_37190 hypothetical protein	LOKIASV2_3719_ESMFold_hypothetical_protein	AF-P35598-F1-model_v4	Putative ABC transporter ATP-binding protein exp8 	0.262	733	421	19	751	8	579	1.752E-40	1857
>LOKIASV2_37200 hypothetical protein	LOKIASV2_3720_ESMFold_hypothetical_protein	AF-P16691-F1-model_v4	Aminoalkylphosphonate N-acetyltransferase 	0.179	155	116	1	155	3	144	4.312E-10	342
>LOKIASV2_37210 replication factor C small subunit	LOKIASV2_3721_ESMFold_replication_factor_C_small_subunit	AF-Q2FQT9-F1-model_v4	Replication factor C small subunit 	0.321	323	214	20	342	5	320	3.769E-24	1050
>LOKIASV2_37220 replication factor C small subunit	LOKIASV2_3722_ESMFold_replication_factor_C_small_subunit	AF-A1RSA2-F1-model_v4	Replication factor C small subunit 1 	0.242	345	240	14	358	2	318	4.383E-22	846
>LOKIASV2_37230 replication factor C large subunit	LOKIASV2_3723_ESMFold_replication_factor_C_large_subunit	AF-A4WGV3-F1-model_v4	Replication factor C large subunit 	0.273	440	305	20	459	2	421	6.65E-23	899
>LOKIASV2_37240 hypothetical protein	LOKIASV2_3724_ESMFold_hypothetical_protein	AF-Q5ZL05-F1-model_v4	Calcium release-activated calcium channel protein 1 	0.132	197	166	78	274	16	207	1.136	38
>LOKIASV2_37250 glycyl-radical enzyme activating protein	LOKIASV2_3725_ESMFold_glycyl-radical_enzyme_activating_protein	AF-Q30W71-F1-model_v4	Choline trimethylamine-lyase activating enzyme 	0.298	308	178	2	255	1	308	3.256E-31	1115
>LOKIASV2_37260 glycyl radical protein	LOKIASV2_3726_ESMFold_glycyl_radical_protein	AF-A0A031WDE4-F1-model_v4	Trans-4-hydroxy-L-proline dehydratase 	0.545	785	357	1	785	1	785	1.278E-85	4027
>LOKIASV2_37270 hypothetical protein	LOKIASV2_3727_ESMFold_hypothetical_protein	4oyd-assembly2.cif.gz_D	Crystal structure of a computationally designed inhibitor of an Epstein-Barr viral Bcl-2 protein 	0.128	120	99	15	134	3	116	2.656	34
>LOKIASV2_37280 hypothetical protein	LOKIASV2_3728_ESMFold_hypothetical_protein	AF-P63238-F1-model_v4	Cold shock-like protein CspE 	0.5	70	34	22	91	2	69	0.000000007643	377
